levelket	text
10.47.1	ज॒गृ॒भ्माते॑। ते॒दक्षि॑णं। दक्षि॑णमिन्द्र। इ॒न्द्र॒हस्तं॑। हस्तं॑वसू॒यव॑:। व॒सू॒यवो॑वसुपते। व॒सु॒यव॒इति॑व॒सु॒ऽयव॑:। व॒सु॒प॒ते॒वसू॑नां। व॒सु॒प॒त॒इति॑वसुऽपते। वसू॑ना॒मिति॒वसू॑नां।। वि॒द्महि। हित्वा॑। त्वा॒गोप॑तिं। गोप॑तिंशूर। गोप॑ति॒मिति॒गोऽप॑तिं। शू॒र॒गोनां॑। गोना॑म॒स्मभ्यं॑। अ॒स्मभ्यं॑चि॒त्रं। चि॒त्रंवृष॑णं। वृष॑णंर॒यिं। र॒यिंदा॑:। दा॒इति॑दा:।।
10.47.2	स्वा॒यु॒धंस्वव॑सं। स्वा॒यु॒धमिति॑सु॒ऽआ॒यु॒धं। स्वव॑संसुनी॒थं। स्वव॑स॒मिति॒सुऽअव॑सं। सु॒नी॒थंचतु॑स्समुद्रं। सु॒नी॒थमिति॑सु॒ऽनी॒थं। चतु॑स्समुद्रंध॒रुणं॑। चतु॑स्समुद्र॒मिति॒चतु॑:ऽसमुद्रं। ध॒रुणं॑रयि॒णां। र॒यी॒णामिति॑र॒यी॒णां।। च॒र्कृत्यं॒शस्यं॑। शस्यं॒भूरि॑वारं। भूरि॑वारम॒स्मभ्यं॑। भूरि॑वार॒मिति॒भूरि॑ऽवारं। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।।
10.47.3	सु॒ब्रह्मा॑णंदे॒वव॑न्तं। सु॒ब्रह्मा॑ण॒मिति॑सु॒ऽब्रह्मा॑णं। दे॒वव॑न्तंबृ॒हन्तं॑ । दे॒वव॑न्त॒मिति॑दे॒वऽव॑न्तं। बृ॒हन्त॑मु॒रु। उ॒रुंग॑भी॒रं। ग॒भी॒रंपृ॒थुबु॑ध्नं। पृ॒थुबु॑ध्नमिन्द्र। पृ॒थुबु॑ध्न॒मिति॑पृ॒थुऽबु॑ध्नं। इ॒न्द्रेती॑न्द्र।। श्रु॒तऋ॑षिमु॒ग्रं। श्रु॒तऋ॑षि॒मिति॑श्रु॒तऽऋ॑षिं। उ॒ग्रम॑भिमाति॒षाहं॑। अ॒भि॒मा॒ति॒षाह॑म॒स्मभ्यं॑। अ॒भि॒माति॒सह॒मित्य॑भि॒मा॒ति॒ऽसहं॑। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।।
10.47.4	स॒नद्वा॑जं॒विप्र॑वीरं। स॒नद्वा॑ज॒मिति॑स॒नत्ऽवा॑जं। विप्र॑वीरं॒तरु॑त्रं। विप्र॑वीर॒मिति॒विप्र॑ऽवीरं। तरु॑त्रंधन॒स्पृतं॑। ध॒न॒स्पृतं॑शूशु॒वांसं॑। ध॒न॒स्पृत॒मिति॑ध॒न॒ऽस्पृतं॑। शू॒शु॒वांसं॑सु॒दक्षं॑। शू॒शु॒वांस॒मिति॑शू॒शु॒ऽवांसं॑। सु॒दक्ष॒मिति॑सु॒ऽदक्षं॑।। द॒स्यु॒हनं॑पू॒र्भिदं॑। द॒स्यु॒हन॒मिति॑द॒स्यु॒ऽहनं॑। पू॒र्भिद॑मिन्द्र। पू॒र्भिद॒मिति॑पू॒:ऽभिदं॑। इ॒न्द्र॒म॒स्मभ्यं॑। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।।
10.47.5	अश्वा॑वन्तंर॒थिनं॑। अश्व॑वन्त॒मित्यश्व॑ऽवन्तं। र॒थिनं॑वी॒रव॑न्तं। वी॒रव॑न्तंसह॒स्रिणं॑। वी॒रव॑न्त॒मिति॑वी॒रऽव॑न्तं। स॒ह॒स्रिणं॑श॒तिनं॑। श॒तिनं॒वाजं॑। वाज॑मिन्द्र। इ॒न्द्रेती॑न्द्र।। भ॒द्रव्रा॑तं॒विप्र॑वीरं। भ॒द्रव्रा॑त॒मिति॑भ॒द्रऽव्रा॑तं। विप्र॑वीरंस्व॒र्षां। विप्र॑वीर॒मिति॒विप्र॑ऽवीरं। स्व॒र्षाम॒स्मभ्यं॑। स्व॒स्सामिति॑स्व॒:ऽसां। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।। 3 ।।
10.47.6	प्रस॒प्तगुं॑। स॒प्तगु॑मृ॒तधी॑तिं। स॒प्तगु॒मिति॑स॒प्तऽगुं॑। ऋ॒तधी॑तिंसुमे॒धां। ऋ॒तधी॑ति॒मित्यृ॒तऽधी॑तिं। सु॒मे॒धांबृह॒स्पतिं॑। सु॒मे॒धामिति॑सु॒ऽमे॒धां। बृह॒स्पतिं॑म॒ति:। म॒तिरच्छ॑। अच्छा॑जिगाति। जि॒गा॒तीति॑जिगाति।। यआ॑ङ्गिर॒सोनम॑सा। नम॑सोप॒सद्य॑:। उ॒प॒सद्यो॒स्मभ्यं॑। उ॒प॒सद्येत्यु॑प॒ऽसद्य॑। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।।
10.47.7	वनी॑वानो॒मम॑। मम॑दू॒तास॑:। दू॒तास॒इन्द्रं॑। इन्द्रं॒स्मोमा॑:। स्तोमा॑श्चरन्ति। च॒र॒न्ति॒सु॒म॒ती:। सु॒म॒तीरि॑या॒ना:। सु॒म॒तीरिति॑सु॒ऽम॒ती:। इ॒या॒नाइती॑या॒नाः।। हृ॒दि॒स्पृसो॒मन॑सा। हृ॒दि॒स्पृस॒इति॑हृ॒दि॒ऽस्पृस॑:। मन॑साव॒च्यमा॑ना:। व॒च्यमा॑नाअ॒स्मभ्यं॑। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।।
10.47.8	यत्वा॑। त्वा॒यामि॑। यामि॑द॒ध्दि। द॒ध्दितत्। तन्न॑:। न॒इ॒न्द्र॒। इ॒न्द्र॒बृ॒हन्तं॑। बृ॒हन्तं॒क्षयं॑। क्षय॒मस॑मं। अस॑मं॒जना॑नां। जना॑ना॒मिति॒जना॑नां।। अ॒भितत्। तद्या॑वापृथि॒वी। द्यावा॑पृथि॒वीगृ॑णीतां। द्यावा॑पृथि॒वीइति॒द्यावा॑पृथि॒वी। गृ॒णी॒ता॒म॒स्मभ्यं॑। अ॒स्मभ्यं॑चि॒त्रंवृष॑णंर॒यिंदा॑:।। 4।।
10.48.1	अ॒हंभु॑वं। भु॒वं॒वसु॑न:। वसु॑न:पू॒र्व्य:। पू॒र्व्यस्पति॑:। पति॑र॒हं। अ॒हंधना॑नि। धना॑नि॒सं। संज॑यामि। ज॒या॒मि॒शस्व॑त:। शस्व॑त॒इति॒शस्व॑त:।। मांह॑वन्ते। ह॒व॒न्ते॒पि॒तरं॑। पि॒तर॒न्न। नज॒न्तव॑:। ज॒न्तवो॒हं। अ॒हंदा॒शुषे॑। दा॒शुषे॒वि। विभ॑जामि। भ॒जा॒मि॒भोज॑नं। भोज॑न॒मिति॒भोज॑नं।।
10.48.2	अ॒हमिन्द्र॑:। इन्द्रो॒रोध॑:। रोधो॒वक्ष॑:। वक्षो॒अथ॑र्वण:। अथ॑र्वणस्त्रि॒ताय॑। त्रि॒ताय॒गा:। गाअ॑जनयं। अ॒ज॒न॒य॒म॒हे:। अ॒हेरधि॑। अधीत्यधि॑।। अ॒हंद॒स्युभ्य॑:। द॒स्युभ्य॒:परि॑। द॒स्युभ्य॒इति॑द॒स्युऽभ्य॑:। परि॑नृ॒ण्मं। नृ॒ण्ममाद॑दे। आद॑दे। द॒दे॒गो॒त्रा। गो॒त्राशिक्ष॑न्। शिक्ष॑न्दधी॒चे। द॒धी॒चेमा॑त॒रिश्व॑ने। मा॒त॒रिश्व॑न॒इति॑मा॒त॒ऽरिश्व॑ने।।
10.48.3	मह्यं॒त्वष्टा॑। त्वष्टा॒वज्रं॑। वज्र॑मतक्षत्। अ॒त॒क्ष॒दा॒य॒सं। आ॒य॒संमयि॑। मयि॑दे॒वास॑:। दे॒वासो॑अवृजन्। अ॒वृ॒ज॒न्नपि॑। अपि॒क्रतुं॑। क्रतु॒मिति॒क्रतुं॑।। ममानी॑कं। अनी॑कं॒सूर्य॑स्येव। सूर्य॑स्येवदु॒ष्टरं॑। सूर्य॑स्ये॒वेति॒सूर्य॑स्यऽइव। दु॒ष्टरं॒मां। मामार्य॑न्ति। आर्य॑न्तिकृ॒तेन॑। कृ॒तेन॒कर्त्वे॑न। कर्त्वे॑नच। चेति॑च।।
10.48.4	अ॒हमे॒तं। ए॒तंग॒व्ययं॑। ग॒व्यय॒मश्व्यं॑। अश्व्यं॑प॒शुं। प॒शुंपु॑री॒षीणं॑। पु॒री॒षणं॒साय॑केन। साय॑केनाहिर॒ण्ययं॑। हि॒र॒ण्यय॒मिति॑हि॒र॒ण्ययं॑।। पु॒रुस॒हस्रा॑। स॒हस्रा॒नि। निशि॑शामि। शि॒शा॒मि॒दा॒शुषे॑। दा॒शुषे॒यत्। यन्मा॑। मा॒सोमा॑स:। सोमा॑सउ॒क्थिन॑:। उ॒क्थिनो॒अम॑न्दिषु:। अम॑न्दिषु॒रित्यम॑न्दिषु:।।
10.48.5	अ॒हमिन्द्र॑:। इन्द्रो॒न। नपरा॑। परा॑जिग्ये। जि॒ग्य॒इत्। इध्दनं॑। धन॒न्न। नमृ॒त्यवे॑। मृ॒त्यवेव॑। अव॑तस्थे। त॒स्थे॒कदा॑। कदा॑च॒न।। सोम॒मित्। इन्मा॑। मा॒सु॒न्वन्त॑:। सु॒न्वन्तो॑याचत। या॒च॒ता॒वसु॑। वसु॒न। नमे॑। मे॒पू॒रवे॑। पू॒रव॑स्स॒ख्ये। स॒ख्येरि॑षाथन। रि॒षा॒थ॒नेति॑रिषाथन।। 5 ।।
10.48.6	अ॒हमे॒तान्। ए॒ताञ्छाश्व॑सत:। शाश्व॑सतो॒द्वाद्वा॑। द्वाद्वेन्द्रं॑। द्वाद्वेति॒द्वाऽद्वा॑। इन्द्रं॒ये। येवज्रं॑। वज्रं॑यु॒धये॑। यु॒धये॑कृण्वत। अ॒कृ॒ण्व॒तेत्य॑कृण्वत।। आ॒ह्वय॑मानाँ॒अव॑। आ॒ह्वय॑माना॒नित्या॒ऽह्वय॑मानान्। अव॒हन्म॑ना। हन्म॑नाहनं। अ॒ह॒नं॒दृ॒ह्ळा। दृ॒ह्ळावद॑न्। वद॒न्नन॑मस्यु:। अन॑मस्युर्नम॒स्विन॑:। न॒म॒स्विन॒इति॑न॒म॒स्विन॑:।।
10.48.7	अ॒भी॒दं। इ॒दमेक॑:। एको॑अस्मि। अ॒स्मि॒नि॒ष्षाट्। नि॒ष्षाळ॒भि। अ॒भीद्वा। द्वाकिं। किमु॒त्रय॑:। ऊँँ॒इत्यूँ॑। त्रय॑:करन्ति। क॒र॒न्तीति॑करन्ति।। खले॒न। नप॒र्षान्। प॒र्षान्प्रति॑। प्रति॑हन्मि। ह॒न्मि॒भूरि॑। भूरि॒किं। किम्मा॑। मा॒नि॒न्द॒ति॒। नि॒न्द॒ति॒शत्र॑व:। शत्र॑वोनि॒न्द्रा:। अ॒नि॒न्द्राइत्य॑नि॒न्द्रा:।।
10.48.8	अ॒हंगु॒ङ्गुभ्य॑:। गु॒ङ्गुभ्यो॑अतिथि॒ग्वं। अ॒ति॒थि॒ग्वमिष्क॑रं। अ॒ति॒थि॒ग्वमित्य॑ति॒थि॒ऽग्वं। इष्क॑र॒मिषं॑। इष॒न्न। नवृ॑त्र॒तुरं॑। वृ॒त्र॒तुरं॑वि॒क्षु। वृ॒त्र॒तुर॒मिति॑वृ॒त्र॒ऽतुरं॑। वि॒क्षुधा॑रयं। धा॒रय॒मिति॑धारयं।। यत्प॑र्णय॒घ्ने। प॒र्ण॒य॒घ्नउ॒त। प॒र्ण॒य॒घ्नइति॑प॒र्ण॒य॒ऽघ्ने। उ॒तवा॑। वा॒क॒र॒ञ्ज॒हे। क॒र॒ञ्ज॒हेप्र। क॒र॒ञ्ज॒हइति॑क॒र॒ञ्ज॒ऽहे। प्राहं। अ॒हंम॒हे। म॒हेवृ॑त्र॒हत्ये॑। वृ॒त्र॒हत्ये॒अशु॑श्रवि। वृ॒त्र॒हत्य॒इति॑वृ॒त्र॒ऽहत्ये॑। अशु॑श्र॒वीत्यशु॑श्रवि।।
10.48.9	प्रमे॑। मे॒नमी॑। नमी॑सा॒प्य:। सा॒प्यइ॒षे। इ॒षेभु॒जे। भु॒जेभू॑त्। भू॒त्गवां॑। गवा॒मेषे॑। एषे॑स॒ख्या। स॒ख्याकृ॑णुत। कृ॒णु॒त॒द्वि॒ता। द्वि॒तेति॑द्वि॒ता।। दि॒द्युंयद॑स्य। यद॑स्य। अ॒स्य॒स॒मि॒थेषु॑। स॒मि॒थेषु॑मं॒हयं॑। स॒मि॒थेष्विति॑सं॒ऽइ॒थेषु॑। मं॒हय॒मात्। आदित्। इदे॑नं। ए॒नं॒शस्यं॑। शस्य॑मु॒क्थ्यं॑। उ॒क्थ्यं॑करं। क॒र॒मिति॑करं।।
10.48.10	प्रने॑मस्मिन्। नेम॑स्मिन्ददृशे। द॒दृ॒शे॒सोम॑:। सोमो॑अ॒न्त:। अ॒न्तर्गो॒पां। गो॒पानेमं॑। ने॒ममा॒वि:। आ॒विर॒स्था। अ॒स्थाकृ॑णोति। कृ॒णो॒तीति॑कृणोति।। सति॒ग्मशृ॑ङ्गं। ति॒ग्मशृ॑ङ्गं॒वृष॒भं। ति॒ग्मशृ॑ङ्गमिति॑ति॒ग्मऽशृ॑ङ्गं। वृ॒ष॒भंयुयु॑त्सन्। युयु॑त्सन्द्रु॒ह:। द्रु॒हस्त॑स्थौ। त॒स्थौ॒ब॒हु॒ले। ब॒हु॒लेब॒ध्द:। ब॒ध्दोअ॒न्त:। अ॒न्तरित्य॒न्त:।।
10.48.11	आ॒दि॒त्यानां॒वसू॑नां। वसू॑नांरु॒द्रिया॑णां। रु॒द्रिया॑णांदे॒व:। दे॒वोदे॒वानां॑। दे॒वाना॒न्न। नमि॑नामि। मि॒ना॒मि॒धाम॑। धामेति॒धाम॑।। तेमा॑भ॒द्राय॑। भ॒द्राय॒शव॑से। शव॑सेततक्षु:। त॒त॒क्षु॒रप॑राजितं। अप॑राजित॒मस्तृ॑तं। अप॑राजित॒मित्यप॑राऽजितं। अस्तृ॑त॒मषा॑ळ्हं। अषा॑ळ्ह॒मित्यषा॑ळ्हं।। 6।।
10.49.1	अ॒हंदां॑। दां॒गृ॒ण॒ते। गृ॒ण॒तेपूर्व्यं॑। पूर्व्यं॒वसु॑। वस्व॒हं। अ॒हंब्रह्म॑। ब्रह्म॑कृणावं। कृ॒ण॒वं॒मह्यं॑। मह्यं॒वर्ध॑नं। वर्ध॑न॒मिति॒वर्ध॑नं।। अ॒हंभु॑वं। भु॒वं॒यज॑मानस्य। यज॑मानस्यचोदि॒ता। चो॒दि॒ताय॑ज्वन:। अय॑ज्वनस्साक्षि। सा॒क्षि॒विश्व॑स्मिन्। विश्व॑स्मि॒न्भरे॑। भर॒इति॒भरे॑।।
10.49.2	मांधु॑:। धु॒रिन्द्रं॑। इन्द्रन्नाम। नाम॑दे॒वता॑। दे॒वता॑दि॒व:। दि॒वश्च॑। च॒ग्म:। ग्मश्च॑। चा॒पां। अ॒पाञ्च॑। च॒ज॒न्तव॑:। ज॒न्तव॒इति॑ज॒न्तव॑:।। अ॒हंहरी॑। हरी॒वृष॑णा। हरी॒इति॒हरी॑। वृषा॑णा॒विव्र॑ता। विव्र॑तार॒घू। विव्र॒तेति॒विऽव्र॑ता। र॒घूअ॒हं। र॒घूइति॑र॒घू। अ॒हंवज्रं॑। वज्रं॒शव॑से। शव॑सेधृष्णु। धृ॒ष्ण्वाद॑दे। आद॑दे। द॒द॒इति॑ददे।।
10.49.3	अ॒हमत्कं॑। अत्कं॑क॒वये॑। क॒वये॑शिश्नथं। शि॒स्न॒थं॒हथै॑:। हथै॑र॒हं। अ॒हंकुत्सं॑। कुत्स॑मा॒वि:। आ॒विरू॒तिभि॑:। रू॒तिभि॒रित्यू॒तिऽभि॑:।। अ॒हंशुष्ण॑स्य। शुष्ण॑स्य॒श्नथि॑ता। श्नथि॑ता॒वध॑:। वध॑र्य॒मं। य॒मन्न। नय:। योर॒रे। र॒रआर्यं॑। आर्य॒न्नाम॑। नाम॒दस्य॑वे। दस्य॑व॒इति॒दस्य॑वे।।
10.49.4	अ॒हंपि॒तेव॑। पि॒तेव॑वेत॒सून्। पि॒तेवेति॑पि॒ताऽइ॑व। वे॒त॒सून॒भिष्ट॑ये। अ॒भिष्ट॑ये॒तुग्रं॑। तुग्रं॒कुत्सा॑य। कुत्सा॑य॒स्मदि॑भं। स्मदि॑भञ्च। स्मदि॑भ॒मिति॒स्मत्ऽइ॑भं। च॒र॒न्ध॒यं॒। र॒न्ध॒य॒मिति॑रन्धयं।। अ॒हंभु॑वं॒यज॑मानस्यरा॒जनि॑। रा॒जनि॒प्र। प्रयत्। यद्भरे॑। भरे॒तुज॑ये। तुज॑ये॒न। नप्रि॒या। प्रि॒याधृषे॑। आ॒धृष॒इत्या॒ऽधृषे॑।।
10.49.5	अ॒हंर॑न्धयं। र॒न्ध॒यं॒मृग॑यं। मृग॑यंशृ॒तर्व॑णे। शृ॒तर्व॑णे॒यत्। यन्मा॑। मा॒जि॒ही॒त॒। अ॒जि॒ही॒त॒व॒युना॑। व॒युना॑च॒न। च॒नानु॒षक्। आ॒नु॒षगित्या॒नु॒षक्।। अ॒हंवे॒शं। वे॒शंन॒म्रं। न॒म्रमा॒यवे॑। आ॒यवे॑करं। अ॒क॒र॒म॒हं। अ॒हंसव्या॑य। सव्या॑य॒पड्गृ॑भिं। पड्गृ॑भिमिति॒पट्ऽगृ॑भिं। अ॒र॒न्ध॒य॒मित्य॑रन्धयं।। 7 ।।
10.49.6	अ॒हंस:। सय:। योनव॑वास्त्वं। नव॑वास्त्वंबृ॒हद्र॑थं। नव॑वास्त्व॒मिति॒नव॑ऽवास्त्वं। बृ॒हद्र॑थं॒सं। बृ॒हद्र॑थ॒मिति॑बृ॒हत्ऽर॑थं। संवृ॒त्रेव॑। वृ॒त्रेव॒दासं॑। दासं॑वृत्र॒हा। वृ॒त्र॒हारु॑जं। वृ॒त्र॒हेति॑वृ॒त्र॒ऽहा। अरु॑ज॒मित्यरु॑जं।। यद्व॒र्धय॑न्तं। व॒र्धय॑न्तंप॒तय॑न्तं। प॒तय॑न्तमानु॒षक्। आ॒नु॒षग्दू॒रे। दू॒रेपा॒रे। पा॒रेरज॑सः। रज॑सोरोच॒ना। रो॒च॒नाक॑रं। अक॑र॒मित्यक॑रं।।
10.49.7	अ॒हंसूर्य॑स्य। सूर्य॑स्य॒परि॑। परि॑यामि। या॒म्या॒शुभि॑:। आ॒शुभि॒:प्र। आ॒शुभि॒रित्या॒शुऽभि॑:। प्रैत॒शेभि॑:। ए॒त॒शेभि॒र्वह॑मान:। वह॑मान॒ओज॑सा। ओज॒सेत्योज॑सा।। यन्मा॑। मा॒सा॒व:। सा॒वोमनु॑ष:। मनु॑ष॒आह॑। आह॑नि॒र्णिजे॑। नि॒र्णिजे॒रुध॑क्। नि॒र्णिज॒इति॑नि॒:ऽनिजे॑। रुध॑क्कृषे। कृ॒षे॒दासं॑। दासं॒कृत्व्यं॑। कृत्व्यं॒हथै॑:। हथै॒रिति॒हथै॑:।।
10.49.8	अ॒हंस॑प्त॒हा। स॒प्त॒हानहु॑ष:। स॒प्त॒हेति॑स॒प्त॒ऽहा। नहु॑षो॒नहु॑ष्टर:। नहु॑ष्टर॒:प्र। नहु॑स्तर॒इति॒नहु॑:ऽतर:। प्राश्रा॑वयं। अश्रा॑वयं॒शव॑सा। अश्र॑वय॒मित्यश्र॑वयं। शव॑सातु॒र्वशं॑। तु॒र्वशुं॒यदुं॑। यदु॒मिति॒यदुं॑।। अ॒हन्नि। न्यन्यं। अ॒न्यंसह॑सा। सह॑सा॒सह॑:। सह॑स्करं। कर॒न्नव॑। नव॒व्राध॑त:। व्राध॑तोनव॒तिं। न॒व॒तिञ्च॑। च॒व॒क्ष॒यं॒। व॒क्ष॒य॒मिति॑वक्षयं।।
